lon,lat,Afternoon,Morning,Evening,StationName
104.2007172,30.56334472,50,45,44,东苑三栋
104.2006592,30.5637773,47,46,51,学子超市背后
104.2004734,30.56407398,47,43,43,东苑二栋
104.2007012,30.5645499,46,46,44,晨光文具
104.2001936,30.56470747,46,45,47,东苑一栋
104.1999075,30.5650168,50,44,46,东苑一栋外侧
104.2000128,30.5642682,50,47,43,东苑二栋外侧
104.1995702,30.5640538,53,51,55,学生活动中心附近
104.1994364,30.5635877,58,57,55,学生活动中心正门
104.2001123,30.5630328,60,58,57,舞蹈学院后门
104.1999853,30.5646648,47,45,43,舞蹈学院侧门
104.2002919,30.56328668,53,48,49,舞蹈学院正门
104.2010795,30.5626567,56,55,51,羽毛球场
104.2018413,30.56281514,55,54,54,东苑十三栋篮球场正门
104.2025386,30.5624238,66,60,56,东苑十三栋外侧
104.2030764,30.563369,58,56,50,东苑十三栋球场
104.2019729,30.5634965,49,44,44,东苑十三栋
104.2018098,30.56430717,63,62,63,东苑十二栋前门器械组
104.2018014,30.56527477,62,60,51,旧食堂
104.202109,30.56524984,56,55,52,新旧食堂过道
104.202702,30.5651333,54,52,45,新食堂外侧
104.2033021,30.5647687,53,54,57,东苑十一栋外侧
104.2033308,30.5620409,71,71,68,校外点9-5
104.2037111,30.5627211,71,67,68,校外点9-6
104.2040644,30.5633961,66,68,65,校外点9-7
104.2047924,30.5647429,70,70,69,校外点9-8
104.203325,30.56421955,37,28,33,东苑十一栋
104.2023147,30.56442291,36,34,30,东苑十二栋
104.2015316,30.5638654,36,31,31,东苑四栋
104.2012225,30.56422396,42,37,41,4A科技园
104.2011542,30.56464286,36,33,34,东苑五栋
104.2006754,30.56529458,40,37,47,一运靠近东一大门
104.2004525,30.56563558,38,34,49,一运1
104.2009269,30.56630503,40,36,50,一运2
104.2014907,30.56682822,39,45,49,一运3
104.2006902,30.5670737,38,38,50,一运4
104.2005432,30.56766079,40,32,38,靠近地理园区T字型路口
104.2015188,30.56727824,38,32,41,地理园区
104.2020051,30.56610372,42,43,49,篮球场
104.203992,30.56535964,41,42,39,东苑六栋楼组
104.1989703,30.56310049,70,69,67,校外点9-1
104.2000381,30.56259009,66,69,66,校外点9-2
104.2008972,30.56215533,68,68,68,校外点9-3
104.2021583,30.56146318,71,71,69,校外点9-4
